FACTOR,UNITS,2007,2008,2009,2010,2011,2012,2013,2014,2015,Country,Product
Consumption Volume,Thousand tons,3563.00,3489.00,1748.00,1704.00,1263.00,48.40,856.00,580.90,667.00,Ireland,Cement
Consumption Value,Million USD,264.30,267.40,159.10,160.80,137.10,7.70,101.40,69.20,83.40,Ireland,Cement
Production Volume,Thousand tons,4003.00,3900.00,2600.00,2600.00,2103.00,1198.00,2000.00,2000.00,2500.00,Ireland,Cement
Production Value,Million USD,146.70,160.20,175.10,191.30,209.00,228.40,234.90,237.60,323.70,Ireland,Cement
Import Volume,Thousand tons,684.40,735.40,204.10,138.70,104.30,90.70,92.30,106.70,89.80,Ireland,Cement
Import Value,Million USD,65.50,65.40,23.00,13.90,10.90,10.70,10.00,9.50,7.00,Ireland,Cement
Export Volume,Thousand tons,1124.00,1146.00,1056.00,1035.00,944.60,1240.00,1236.00,1526.00,1923.00,Ireland,Cement
Export Value,Million USD,105.50,112.00,101.90,104.70,94.00,111.20,110.60,148.00,145.40,Ireland,Cement
Import Price,USD per Ton,95.70,88.90,112.60,99.90,104.60,118.50,107.80,88.90,78.10,Ireland,Cement
Export Price,USD per Ton,93.90,97.70,96.50,101.20,99.50,89.60,89.50,97.00,75.60,Ireland,Cement
Per Capita Consumption,Kg per Person,810.10,777.20,382.60,368.20,270.80,10.40,182.80,124.00,141.90,Ireland,Cement
Net Export Volume,Thousand tons,439.60,410.80,852.00,896.50,840.30,1150.00,1144.00,1419.00,1833.00,Ireland,Cement
Net Export Value,Million USD,40.00,46.60,78.90,90.90,83.10,100.40,100.60,138.50,138.40,Ireland,Cement
Consumption Volume,Thousand tons,117546.00,97539.00,70200.00,71960.00,72929.00,79217.00,82025.00,86346.00,101975.00,USA,Cement
Consumption Value,Million USD,12055.00,9737.00,6020.00,5503.00,5674.00,6069.00,6901.00,7237.00,8547.00,USA,Cement
Production Volume,Thousand tons,96850.00,87610.00,64843.00,67176.00,68639.00,74934.00,77415.00,83124.00,93208.00,USA,Cement
Production Value,Million USD,10153.00,8915.00,5568.00,5064.00,5278.00,5661.00,6506.00,6956.00,7800.00,USA,Cement
Import Volume,Thousand tons,21739.00,10898.00,6338.00,6141.00,5937.00,6276.00,6514.00,6069.00,10337.00,USA,Cement
Import Value,Million USD,1693.00,949.10,561.40,535.80,519.00,552.70,571.90,663.10,896.10,USA,Cement
Export Volume,Thousand tons,1042.00,969.60,980.20,1357.00,1646.00,1993.00,1904.00,2847.00,1571.00,USA,Cement
Export Value,Million USD,131.40,117.50,117.50,184.30,211.30,259.10,257.70,264.20,240.10,USA,Cement
Import Price,USD per Ton,77.90,87.10,88.60,87.30,87.40,88.10,87.80,109.30,86.70,USA,Cement
Export Price,USD per Ton,126.00,121.20,119.90,135.80,128.30,130.00,135.40,92.80,152.90,USA,Cement
Per Capita Consumption,Kg per Person,391.00,321.50,229.40,233.10,234.50,252.80,260.00,271.80,318.70,USA,Cement
Net Export Volume,Thousand tons,-20696.30,﻿-9928.3,﻿-5357.6,﻿-4783.6,﻿-4290.3,﻿-4283,﻿-4610,﻿-3222,﻿-8766.6,USA,Cement
Net Export Value,Million USD,-1561.20,﻿-831.6,﻿-443.9,﻿-351.5,﻿-307.8,﻿-293.6,﻿-314.2,﻿-398.9,﻿-656,USA,Cement
Consumption Volume,Thousand tons,45592.00,51654.00,52095.00,59937.00,65145.00,70275.00,70976.00,72034.00,65649.00,Brazil,Cement
Consumption Value,Million USD,3981.00,5397.00,5174.00,6616.00,7906.00,7580.00,7647.00,7739.00,5437.00,Brazil,Cement
Production Volume,Thousand tons,46551.00,51970.00,51748.00,59118.00,64093.00,69323.00,69975.00,71254.00,65283.00,Brazil,Cement
Production Value,Million USD,3802.00,5478.00,5086.00,6714.00,8250.00,7631.00,7690.00,7801.00,4927.00,Brazil,Cement
Import Volume,Thousand tons,286.60,286.60,397.00,859.70,1098.00,985.60,1034.00,823.90,514.10,Brazil,Cement
Import Value,Million USD,20.80,26.80,39.40,79.40,99.50,92.10,92.90,77.00,48.70,Brazil,Cement
Export Volume,Thousand tons,1246.00,602.80,49.60,40.50,45.40,33.50,32.70,43.70,147.90,Brazil,Cement
Export Value,Million USD,62.30,39.30,5.10,4.50,5.40,4.40,4.20,5.50,13.00,Brazil,Cement
Import Price,USD per Ton,72.50,93.30,99.30,92.30,90.60,93.40,89.80,93.40,94.80,Brazil,Cement
Export Price,USD per Ton,50.00,65.20,102.90,112.00,118.90,131.20,129.30,126.50,87.80,Brazil,Cement
Per Capita Consumption,Kg per Person,238.70,267.70,267.30,304.60,327.90,350.40,350.70,352.70,318.70,Brazil,Cement
Net Export Volume,Thousand tons,959.20,316.10,﻿-347.4,﻿-819.2,﻿-1052.3,﻿-952.1,﻿-1001.2,﻿-780.2,﻿-366.2,Brazil,Cement
Net Export Value,Million USD,41.50,12.50,﻿-34.3,﻿-74 8,-94.10,﻿-87.7,﻿-88.6,﻿-71.4,-35.70,Brazil,Cement
Consumption Volume,Thousand tons,1346507.00,1387333.00,1636216.00,1870996.00,2091058.00,2201410.00,2400469.00,2482064.00,2349902.00,China,Cement
Consumption Value,Million USD,58994.00,69244.00,84842.00,97491.00,124781.00,132310.00,139494.00,147064.00,136241.00,China,Cement
Production Volume,Thousand tons,1361170.00,1400000.00,1644000.00,1880000.00,2099000.00,2210000.00,2411000.00,2492000.00,2359000.00,China,Cement
Production Value,Million USD,54201.00,66718.00,82445.00,94894.00,126356.00,134256.00,140297.00,148660.00,136866.00,China,Cement
